N,P,K,ph,temperature,humidity,rainfall
90.0,42.0,43.0,6.5029855,20.879744,82.00275,202.93553
85.0,58.0,41.0,7.0380964,21.770462,80.31964,226.65553
60.0,55.0,44.0,7.840207,23.00446,82.32076,263.96423
74.0,35.0,40.0,6.980401,26.491096,80.15836,242.86403
78.0,42.0,42.0,7.628473,20.130175,81.60487,262.71735
69.0,37.0,42.0,7.0734534,23.058048,83.37012,251.055
69.0,55.0,38.0,5.7008057,22.708838,82.63941,271.32486
94.0,53.0,40.0,5.718627,20.277744,82.89409,241.9742
89.0,54.0,38.0,6.6853466,24.51588,83.53522,230.44624
68.0,58.0,38.0,6.3362536,23.223974,83.033226,221.2092
91.0,53.0,40.0,5.386168,26.527235,81.41754,264.61487
90.0,46.0,42.0,7.502834,23.978983,81.450615,250.08324
78.0,58.0,44.0,5.1086817,26.800797,80.88685,284.43646
93.0,56.0,36.0,6.9843535,24.014977,82.05687,185.27734
94.0,50.0,37.0,6.94802,25.665852,80.66385,209.58698
60.0,48.0,39.0,7.0422993,24.282095,80.300255,231.08633
85.0,38.0,41.0,6.2490506,21.587118,82.78837,276.65524
91.0,35.0,39.0,6.9708595,23.79392,80.41818,206.26118
77.0,38.0,36.0,5.9539332,21.865252,80.1923,224.55502
88.0,35.0,40.0,5.853932,23.579435,83.5876,291.29868
89.0,45.0,36.0,6.4424753,21.32504,80.47476,185.49747
76.0,40.0,43.0,5.0701756,25.157455,83.117134,231.38432
67.0,59.0,41.0,6.0126324,21.947668,80.97384,213.3561
83.0,41.0,43.0,6.2540283,21.052536,82.6784,233.10757
98.0,47.0,37.0,7.375483,23.483814,81.33265,224.05812
66.0,53.0,41.0,7.778915,25.075636,80.523895,257.00388
97.0,59.0,43.0,6.2865,26.359272,84.04404,271.3586
97.0,50.0,41.0,7.07096,24.529226,80.54498,260.2634
60.0,49.0,44.0,6.2448416,20.77576,84.49774,240.08107
84.0,51.0,35.0,6.043305,22.301575,80.644165,197.97913
73.0,57.0,41.0,5.824709,21.446539,84.943756,272.20172
92.0,35.0,40.0,6.3573895,22.17932,80.331276,200.08827
85.0,37.0,39.0,6.364135,24.527838,82.736855,224.67572
98.0,53.0,38.0,5.0145073,20.267076,81.638954,270.44174
88.0,54.0,44.0,6.1494107,25.73543,83.88266,233.13214
95.0,55.0,42.0,5.9506607,26.79534,82.14809,193.3474
99.0,57.0,35.0,5.96037,26.757542,81.17734,272.2999
95.0,39.0,36.0,5.5613985,23.863304,83.15251,285.24936
60.0,43.0,44.0,7.416245,21.019447,82.95222,298.40186
63.0,44.0,41.0,5.58337,24.172989,83.72876,257.03436
62.0,42.0,36.0,6.4300103,22.781338,82.06719,248.71832
64.0,45.0,43.0,5.5348783,25.6298,83.52842,209.90019
83.0,60.0,36.0,6.903986,25.59705,80.145096,200.8349
82.0,40.0,40.0,6.2714787,23.830675,84.8136,298.56012
85.0,52.0,45.0,7.2242856,26.313555,82.36699,265.53558
91.0,35.0,38.0,6.1342874,24.897282,80.52586,183.67932
76.0,49.0,42.0,5.206373,24.958778,84.47964,196.956
74.0,39.0,38.0,7.782051,23.241135,84.59202,233.04535
79.0,43.0,39.0,7.062779,21.666283,80.7096,210.81421
88.0,55.0,45.0,7.7303677,24.635448,80.41363,253.72028
60.0,36.0,43.0,5.286204,23.43122,83.0631,219.90483
76.0,60.0,39.0,6.76624,20.045414,80.347755,208.58101
93.0,56.0,42.0,7.3827624,23.85724,82.22573,195.09483
65.0,60.0,43.0,5.6581693,21.971994,81.899185,227.36371
95.0,52.0,36.0,5.54336,26.22917,83.83626,286.50836
75.0,38.0,39.0,6.21511,23.446768,84.793526,283.93384
74.0,54.0,38.0,7.120273,25.655535,83.47021,217.37886
91.0,36.0,45.0,5.9506474,24.443455,82.45432,267.9762
71.0,46.0,40.0,7.2367053,20.280193,82.12354,191.95357
99.0,55.0,35.0,6.501698,21.723831,80.23899,277.96262
72.0,40.0,38.0,7.5924907,20.41447,82.20802,245.15112
83.0,58.0,45.0,5.8753457,25.755285,83.51827,245.66267
93.0,58.0,38.0,6.9324,20.615213,83.77345,279.54517
70.0,36.0,42.0,6.94621,21.841068,80.72887,202.38383
76.0,47.0,42.0,5.739175,20.083696,83.291145,263.6372
99.0,41.0,36.0,6.738652,24.458021,82.74836,182.56163
99.0,54.0,37.0,5.5948195,21.143475,80.33503,198.6731
86.0,59.0,35.0,6.946636,25.787205,82.11124,243.51204
69.0,46.0,41.0,5.01214,23.641249,80.28598,263.11032
91.0,56.0,37.0,6.363472,23.431917,80.56888,269.5039
61.0,52.0,41.0,6.880431,24.976696,83.89181,204.80019
67.0,45.0,38.0,7.3004107,22.727911,82.170685,260.8875
79.0,42.0,37.0,6.5879188,24.873007,82.840225,295.60944
78.0,43.0,42.0,7.2837367,21.323763,83.003204,192.31975
75.0,54.0,36.0,7.0239363,26.294655,84.56919,257.4915
97.0,36.0,45.0,6.9390836,22.228699,81.85873,278.0792
67.0,47.0,44.0,7.8684745,26.730724,81.785965,280.40445
73.0,35.0,38.0,5.005307,24.889212,81.97927,185.94614
77.0,36.0,37.0,6.136132,26.884449,81.460335,194.57666
81.0,41.0,38.0,7.5240803,22.678461,83.728745,200.91331
68.0,57.0,43.0,5.706943,26.088678,80.3798,182.90436
72.0,45.0,35.0,5.7585063,25.429775,82.94682,195.35745
61.0,53.0,43.0,6.3496065,26.403233,81.05636,223.36719
67.0,43.0,39.0,5.999969,26.04372,84.96907,186.75368
67.0,58.0,39.0,5.453592,25.282722,80.54373,220.11568
66.0,60.0,38.0,6.372576,22.085766,83.47038,231.7365
82.0,43.0,38.0,5.1055884,23.286171,81.43322,242.31706
84.0,50.0,44.0,5.935344,25.48592,81.406334,182.65494
81.0,53.0,42.0,5.177823,23.675755,81.03569,233.70349
91.0,50.0,40.0,6.4623914,20.824772,84.134186,230.22423
93.0,53.0,38.0,7.0691724,26.92995,81.91411,290.67938
90.0,44.0,38.0,7.4731345,23.835094,83.88387,241.20135
81.0,45.0,35.0,6.158377,26.528728,80.12267,218.91635
78.0,40.0,38.0,7.549874,26.464283,83.85643,248.22565
60.0,51.0,36.0,6.0283217,22.696577,82.81089,256.9965
88.0,46.0,42.0,6.6049933,22.683191,83.463585,194.26517
93.0,47.0,37.0,6.5003433,21.533463,82.14004,295.92487
60.0,55.0,45.0,5.9357452,21.408657,83.32932,287.5767
78.0,35.0,44.0,7.0726557,26.54348,84.67354,183.62227
65.0,37.0,40.0,5.3333225,23.359055,83.59512,188.41367
71.0,54.0,16.0,5.7499146,22.6136,63.690704,87.75954
61.0,44.0,17.0,6.9317565,26.100183,71.57477,102.26624
80.0,43.0,16.0,6.6579647,23.55882,71.59351,66.719955
73.0,58.0,21.0,6.5960608,19.97216,57.682728,60.651714
61.0,38.0,20.0,5.9704585,18.478912,62.695038,65.438354
68.0,41.0,16.0,6.1588306,21.776894,57.808407,102.08617
93.0,41.0,17.0,6.047907,25.621717,66.50416,105.46547
89.0,60.0,19.0,5.9136643,25.191925,66.69029,78.0664
76.0,44.0,17.0,5.8554425,20.416832,62.55425,65.277985
67.0,60.0,25.0,5.750255,24.921621,66.78628,109.216225
70.0,44.0,19.0,5.8526073,23.31689,73.454155,94.29713
90.0,49.0,21.0,6.472523,24.840168,68.35846,74.05475
62.0,52.0,16.0,6.9670577,22.275267,58.84016,63.870205
92.0,44.0,16.0,6.082974,18.877514,65.76816,94.761894
66.0,54.0,21.0,5.9190454,25.190086,60.20017,72.12376
63.0,58.0,22.0,6.2047477,18.254053,55.282204,63.723583
70.0,47.0,17.0,6.600827,24.612911,70.416245,104.16261
61.0,41.0,17.0,6.021902,25.142061,65.26185,76.68456
66.0,53.0,19.0,6.0335503,23.093481,60.115936,65.49731
74.0,55.0,19.0,6.288868,18.050337,62.89367,84.23614
77.0,57.0,21.0,6.550564,24.932158,73.80435,79.74078
99.0,50.0,15.0,5.5732865,18.1471,71.09445,88.07754
74.0,56.0,22.0,6.8291993,18.283623,66.65953,80.97573
83.0,45.0,21.0,5.716223,18.833445,58.75082,79.75329
100.0,48.0,16.0,5.5499024,25.718958,67.22191,74.51491
79.0,51.0,16.0,6.5862446,25.337976,68.49836,96.4638
94.0,39.0,18.0,5.893093,23.891146,57.48776,102.83019
75.0,49.0,15.0,5.918264,21.535742,71.509056,102.48529
78.0,48.0,22.0,5.5886507,23.089748,63.104595,70.43474
87.0,54.0,20.0,6.5764184,25.617073,63.471176,108.830376
87.0,35.0,25.0,6.1780562,21.445269,63.162155,65.88951
63.0,43.0,19.0,6.6419063,18.518167,55.53128,90.98805
84.0,57.0,25.0,6.4890404,22.535105,67.99258,64.40866
64.0,35.0,23.0,5.6803613,23.020384,61.89472,63.038433
60.0,46.0,22.0,6.6254044,24.893646,65.61419,87.92981
98.0,44.0,21.0,6.524478,25.771751,74.08911,107.493195
75.0,56.0,18.0,5.6962056,19.398518,62.357506,60.951973
86.0,55.0,21.0,6.8039317,21.541563,59.64024,109.75154
98.0,35.0,18.0,6.2527976,23.79746,74.82914,91.763374
76.0,57.0,18.0,6.0927258,18.980272,74.52601,94.2625
99.0,56.0,17.0,6.23433,24.108593,73.13113,71.07562
60.0,44.0,23.0,5.72258,24.794708,70.04557,76.7286
74.0,48.0,17.0,6.4306164,21.631628,60.277664,69.21803
89.0,60.0,17.0,5.9839525,25.375488,57.210255,101.70043
69.0,51.0,23.0,6.8016386,22.217382,72.85463,106.621315
96.0,46.0,22.0,6.4999366,20.58314,69.00129,66.29391
61.0,60.0,15.0,6.2655644,24.875029,68.742485,91.26057
74.0,58.0,18.0,6.7273035,20.037283,56.356068,109.02414
74.0,43.0,23.0,6.3252354,25.952633,61.890823,99.57981
63.0,43.0,17.0,6.807488,19.288898,65.470505,71.319534
99.0,36.0,20.0,6.671086,20.579819,65.34584,78.34605
77.0,36.0,23.0,6.6487255,24.714176,56.734264,88.45362
87.0,60.0,23.0,6.439072,20.27317,63.91282,62.503517
60.0,38.0,17.0,6.4744763,18.41933,64.2358,76.413124
94.0,54.0,17.0,5.871648,23.391281,61.74427,107.31982
95.0,38.0,22.0,5.730617,19.849394,61.245,100.76892
84.0,44.0,21.0,5.85044,21.869274,61.91045,107.268196
