N,P,K,ph,temperature,humidity,rainfall,N_P_ratio,N_K_ratio,P_K_ratio,soil_health_score,zinc_deficiency,iron_deficiency,boron_deficiency,multiple_deficiency,any_deficiency,temperature_stress,moisture_stress
90.0,42.0,43.0,6.5029855,20.879744,82.00275,202.93553,2.0930233,2.0454545,0.95454544,0.666,0,0,0,0,0,0,0
85.0,58.0,41.0,7.0380964,21.770462,80.31964,226.65553,1.440678,2.0238094,1.3809524,0.658,1,0,0,0,1,0,0
60.0,55.0,44.0,7.840207,23.00446,82.32076,263.96423,1.0714285,1.3333334,1.2222222,0.539,1,0,0,0,1,0,0
74.0,35.0,40.0,6.980401,26.491096,80.15836,242.86403,2.0555556,1.804878,0.85365856,0.611,0,0,0,0,0,0,0
78.0,42.0,42.0,7.628473,20.130175,81.60487,262.71735,1.8139535,1.8139535,0.9767442,0.577,1,0,0,0,1,0,0
69.0,37.0,42.0,7.0734534,23.058048,83.37012,251.055,1.8157895,1.6046512,0.8604651,0.62,1,0,0,0,1,0,0
69.0,55.0,38.0,5.7008057,22.708838,82.63941,271.32486,1.2321428,1.7692307,1.4102564,0.546,0,0,0,0,0,0,0
94.0,53.0,40.0,5.718627,20.277744,82.89409,241.9742,1.7407408,2.292683,1.2926829,0.582,0,0,0,0,0,0,0
89.0,54.0,38.0,6.6853466,24.51588,83.53522,230.44624,1.6181818,2.2820513,1.3846154,0.659,0,0,0,0,0,0,0
68.0,58.0,38.0,6.3362536,23.223974,83.033226,221.2092,1.1525424,1.7435898,1.4871795,0.632,0,0,0,0,0,0,0
91.0,53.0,40.0,5.386168,26.527235,81.41754,264.61487,1.6851852,2.2195122,1.2926829,0.55,0,0,0,1,1,0,0
90.0,46.0,42.0,7.502834,23.978983,81.450615,250.08324,1.9148936,2.0930233,1.0697675,0.602,1,0,0,0,1,0,0
78.0,58.0,44.0,5.1086817,26.800797,80.88685,284.43646,1.3220339,1.7333333,1.2888889,0.516,0,0,0,1,1,0,0
93.0,56.0,36.0,6.9843535,24.014977,82.05687,185.27734,1.6315789,2.5135136,1.5135136,0.661,0,0,0,0,0,0,0
94.0,50.0,37.0,6.94802,25.665852,80.66385,209.58698,1.8431373,2.4736843,1.3157895,0.664,0,0,0,0,0,0,0
60.0,48.0,39.0,7.0422993,24.282095,80.300255,231.08633,1.2244898,1.5,1.2,0.624,1,0,0,0,1,0,0
85.0,38.0,41.0,6.2490506,21.587118,82.78837,276.65524,2.1794872,2.0238094,0.9047619,0.645,0,0,0,0,0,0,0
91.0,35.0,39.0,6.9708595,23.79392,80.41818,206.26118,2.5277777,2.275,0.875,0.631,0,0,0,0,0,0,0
77.0,38.0,36.0,5.9539332,21.865252,80.1923,224.55502,1.9743589,2.0810812,1.027027,0.562,0,0,0,0,0,0,0
88.0,35.0,40.0,5.853932,23.579435,83.5876,291.29868,2.4444444,2.1463416,0.85365856,0.554,0,0,0,0,0,0,0
89.0,45.0,36.0,6.4424753,21.32504,80.47476,185.49747,1.9347826,2.4054055,1.2162162,0.656,0,0,0,0,0,0,0
76.0,40.0,43.0,5.0701756,25.157455,83.117134,231.38432,1.8536586,1.7272727,0.90909094,0.509,0,0,0,1,1,0,0
67.0,59.0,41.0,6.0126324,21.947668,80.97384,213.3561,1.1166667,1.5952381,1.4047619,0.635,0,0,0,0,0,0,0
83.0,41.0,43.0,6.2540283,21.052536,82.6784,233.10757,1.9761904,1.8863636,0.9318182,0.658,0,0,0,0,0,0,0
98.0,47.0,37.0,7.375483,23.483814,81.33265,224.05812,2.0416667,2.5789473,1.2368422,0.669,1,0,0,0,1,0,0
66.0,53.0,41.0,7.778915,25.075636,80.523895,257.00388,1.2222222,1.5714285,1.2619047,0.548,1,0,0,0,1,0,0
97.0,59.0,43.0,6.2865,26.359272,84.04404,271.3586,1.6166667,2.2045455,1.3409091,0.675,0,0,0,0,0,0,0
97.0,50.0,41.0,7.07096,24.529226,80.54498,260.2634,1.9019607,2.3095238,1.1904762,0.672,1,0,0,0,1,0,0
60.0,49.0,44.0,6.2448416,20.77576,84.49774,240.08107,1.2,1.3333334,1.0888889,0.63,0,0,0,0,0,0,0
84.0,51.0,35.0,6.043305,22.301575,80.644165,197.97913,1.6153846,2.3333333,1.4166666,0.649,0,0,0,0,0,0,0
73.0,57.0,41.0,5.824709,21.446539,84.943756,272.20172,1.2586207,1.7380953,1.3571428,0.565,0,0,0,0,0,0,0
92.0,35.0,40.0,6.3573895,22.17932,80.331276,200.08827,2.5555556,2.2439024,0.85365856,0.634,0,0,0,0,0,0,0
85.0,37.0,39.0,6.364135,24.527838,82.736855,224.67572,2.2368422,2.125,0.925,0.636,0,0,0,0,0,0,0
98.0,53.0,38.0,5.0145073,20.267076,81.638954,270.44174,1.8148148,2.5128205,1.3589743,0.525,0,0,0,1,1,0,0
88.0,54.0,44.0,6.1494107,25.73543,83.88266,233.13214,1.6,1.9555556,1.2,0.665,0,0,0,0,0,0,0
95.0,55.0,42.0,5.9506607,26.79534,82.14809,193.3474,1.6964285,2.2093024,1.2790698,0.605,0,0,0,0,0,0,0
99.0,57.0,35.0,5.96037,26.757542,81.17734,272.2999,1.7068965,2.75,1.5833334,0.602,0,0,0,0,0,0,0
95.0,39.0,36.0,5.5613985,23.863304,83.15251,285.24936,2.375,2.5675676,1.054054,0.558,0,0,0,0,0,0,0
60.0,43.0,44.0,7.416245,21.019447,82.95222,298.40186,1.3636364,1.3333334,0.95555556,0.63,1,0,0,0,1,0,0
63.0,44.0,41.0,5.58337,24.172989,83.72876,257.03436,1.4,1.5,1.0476191,0.533,0,0,0,0,0,0,0
62.0,42.0,36.0,6.4300103,22.781338,82.06719,248.71832,1.4418604,1.6756756,1.1351352,0.622,0,0,0,0,0,0,0
64.0,45.0,43.0,5.5348783,25.6298,83.52842,209.90019,1.3913044,1.4545455,1.0227273,0.532,0,0,0,0,0,0,0
83.0,60.0,36.0,6.903986,25.59705,80.145096,200.8349,1.3606558,2.2432432,1.6216216,0.649,0,0,0,0,0,0,0
82.0,40.0,40.0,6.2714787,23.830675,84.8136,298.56012,2.0,2.0,0.9756098,0.653,0,0,0,0,0,0,0
85.0,52.0,45.0,7.2242856,26.313555,82.36699,265.53558,1.6037736,1.8478261,1.1304348,0.662,1,0,0,0,1,0,0
91.0,35.0,38.0,6.1342874,24.897282,80.52586,183.67932,2.5277777,2.3333333,0.8974359,0.63,0,0,0,0,0,0,0
76.0,49.0,42.0,5.206373,24.958778,84.47964,196.956,1.52,1.7674419,1.1395348,0.519,0,0,0,1,1,0,0
74.0,39.0,38.0,7.782051,23.241135,84.59202,233.04535,1.85,1.8974359,1.0,0.548,1,0,0,0,1,0,0
79.0,43.0,39.0,7.062779,21.666283,80.7096,210.81421,1.7954545,1.975,1.075,0.648,1,0,0,0,1,0,0
88.0,55.0,45.0,7.7303677,24.635448,80.41363,253.72028,1.5714285,1.9130435,1.1956521,0.585,1,0,0,0,1,0,0
60.0,36.0,43.0,5.286204,23.43122,83.0631,219.90483,1.6216216,1.3636364,0.8181818,0.482,0,0,0,1,1,0,0
76.0,60.0,39.0,6.76624,20.045414,80.347755,208.58101,1.2459016,1.9,1.5,0.644,0,0,0,0,0,0,0
93.0,56.0,42.0,7.3827624,23.85724,82.22573,195.09483,1.6315789,2.1627908,1.3023256,0.669,1,0,0,0,1,0,0
65.0,60.0,43.0,5.6581693,21.971994,81.899185,227.36371,1.0655738,1.4772727,1.3636364,0.544,0,0,0,0,0,0,0
95.0,52.0,36.0,5.54336,26.22917,83.83626,286.50836,1.7924528,2.5675676,1.4054054,0.563,0,0,0,0,0,0,0
75.0,38.0,39.0,6.21511,23.446768,84.793526,283.93384,1.9230769,1.875,0.95,0.63,0,0,0,0,0,0,0
74.0,54.0,38.0,7.120273,25.655535,83.47021,217.37886,1.3454546,1.8974359,1.3846154,0.64,1,0,0,0,1,0,0
91.0,36.0,45.0,5.9506474,24.443455,82.45432,267.9762,2.4594595,1.9782609,0.7826087,0.578,0,0,0,0,0,0,0
71.0,46.0,40.0,7.2367053,20.280193,82.12354,191.95357,1.5106384,1.7317073,1.1219512,0.639,1,0,0,0,1,0,0
99.0,55.0,35.0,6.501698,21.723831,80.23899,277.96262,1.7678572,2.75,1.5277778,0.668,0,0,0,0,0,0,0
72.0,40.0,38.0,7.5924907,20.41447,82.20802,245.15112,1.7560976,1.8461539,1.0256411,0.567,1,0,0,0,1,0,0
83.0,58.0,45.0,5.8753457,25.755285,83.51827,245.66267,1.4067796,1.8043479,1.2608696,0.587,0,0,0,0,0,0,0
93.0,58.0,38.0,6.9324,20.615213,83.77345,279.54517,1.5762712,2.3846154,1.4871795,0.664,0,0,0,0,0,0,0
70.0,36.0,42.0,6.94621,21.841068,80.72887,202.38383,1.8918918,1.6279069,0.8372093,0.615,0,0,0,0,0,0,0
76.0,47.0,42.0,5.739175,20.083696,83.291145,263.6372,1.5833334,1.7674419,1.0930233,0.563,0,0,0,0,0,0,0
99.0,41.0,36.0,6.738652,24.458021,82.74836,182.56163,2.357143,2.6756756,1.1081082,0.669,0,0,0,0,0,0,0
99.0,54.0,37.0,5.5948195,21.143475,80.33503,198.6731,1.8,2.6052632,1.4210526,0.574,0,0,0,0,0,0,0
86.0,59.0,35.0,6.946636,25.787205,82.11124,243.51204,1.4333333,2.3888888,1.6388888,0.651,0,0,0,0,0,0,0
69.0,46.0,41.0,5.01214,23.641249,80.28598,263.11032,1.468085,1.6428572,1.0952381,0.493,0,0,0,1,1,0,0
91.0,56.0,37.0,6.363472,23.431917,80.56888,269.5039,1.5964912,2.3947368,1.4736842,0.66,0,0,0,0,0,0,0
61.0,52.0,41.0,6.880431,24.976696,83.89181,204.80019,1.1509434,1.4523809,1.2380953,0.628,0,0,0,0,0,0,0
67.0,45.0,38.0,7.3004107,22.727911,82.170685,260.8875,1.4565217,1.7179487,1.1538461,0.631,1,0,0,0,1,0,0
79.0,42.0,37.0,6.5879188,24.873007,82.840225,295.60944,1.8372093,2.0789473,1.1052631,0.645,0,0,0,0,0,0,0
78.0,43.0,42.0,7.2837367,21.323763,83.003204,192.31975,1.7727273,1.8139535,1.0,0.65,1,0,0,0,1,0,0
75.0,54.0,36.0,7.0239363,26.294655,84.56919,257.4915,1.3636364,2.0270271,1.4594594,0.639,1,0,0,0,1,0,0
97.0,36.0,45.0,6.9390836,22.228699,81.85873,278.0792,2.6216216,2.1086957,0.7826087,0.653,0,0,0,0,0,0,0
67.0,47.0,44.0,7.8684745,26.730724,81.785965,280.40445,1.3958334,1.4888889,1.0444444,0.546,1,0,0,0,1,0,0
73.0,35.0,38.0,5.005307,24.889212,81.97927,185.94614,2.0277777,1.8717948,0.8974359,0.462,0,0,0,1,1,0,0
77.0,36.0,37.0,6.136132,26.884449,81.460335,194.57666,2.0810812,2.0263157,0.94736844,0.618,0,0,0,0,0,0,0
81.0,41.0,38.0,7.5240803,22.678461,83.728745,200.91331,1.9285715,2.0769231,1.051282,0.584,1,0,0,0,1,0,0
68.0,57.0,43.0,5.706943,26.088678,80.3798,182.90436,1.1724138,1.5454545,1.2954545,0.552,0,0,0,0,0,0,0
72.0,45.0,35.0,5.7585063,25.429775,82.94682,195.35745,1.5652174,2.0,1.25,0.551,0,0,0,0,0,0,0
61.0,53.0,43.0,6.3496065,26.403233,81.05636,223.36719,1.1296296,1.3863636,1.2045455,0.63,0,0,0,0,0,0,0
67.0,43.0,39.0,5.999969,26.04372,84.96907,186.75368,1.5227273,1.675,1.075,0.57,0,0,0,0,0,0,0
67.0,58.0,39.0,5.453592,25.282722,80.54373,220.11568,1.1355932,1.675,1.45,0.524,0,0,0,1,1,0,0
66.0,60.0,38.0,6.372576,22.085766,83.47038,231.7365,1.0819672,1.6923077,1.5384616,0.63,0,0,0,0,0,0,0
82.0,43.0,38.0,5.1055884,23.286171,81.43322,242.31706,1.8636364,2.102564,1.1025641,0.513,0,0,0,1,1,0,0
84.0,50.0,44.0,5.935344,25.48592,81.406334,182.65494,1.6470588,1.8666667,1.1111112,0.592,0,0,0,0,0,0,0
81.0,53.0,42.0,5.177823,23.675755,81.03569,233.70349,1.5,1.8837209,1.2325581,0.523,0,0,0,1,1,0,0
91.0,50.0,40.0,6.4623914,20.824772,84.134186,230.22423,1.7843137,2.2195122,1.2195122,0.664,0,0,0,0,0,0,0
93.0,53.0,38.0,7.0691724,26.92995,81.91411,290.67938,1.7222222,2.3846154,1.3589743,0.664,1,0,0,0,1,0,0
90.0,44.0,38.0,7.4731345,23.835094,83.88387,241.20135,2.0,2.3076923,1.1282052,0.66,1,0,0,0,1,0,0
81.0,45.0,35.0,6.158377,26.528728,80.12267,218.91635,1.7608696,2.25,1.25,0.645,0,0,0,0,0,0,0
78.0,40.0,38.0,7.549874,26.464283,83.85643,248.22565,1.902439,2.0,1.0256411,0.578,1,0,0,0,1,0,0
60.0,51.0,36.0,6.0283217,22.696577,82.81089,256.9965,1.1538461,1.6216216,1.3783784,0.62,0,0,0,0,0,0,0
88.0,46.0,42.0,6.6049933,22.683191,83.463585,194.26517,1.8723404,2.0465117,1.0697675,0.662,0,0,0,0,0,0,0
93.0,47.0,37.0,6.5003433,21.533463,82.14004,295.92487,1.9375,2.4473684,1.2368422,0.662,0,0,0,0,0,0,0
60.0,55.0,45.0,5.9357452,21.408657,83.32932,287.5767,1.0714285,1.3043479,1.1956521,0.563,0,0,0,0,0,0,0
78.0,35.0,44.0,7.0726557,26.54348,84.67354,183.62227,2.1666667,1.7333333,0.7777778,0.621,1,0,0,0,1,0,0
65.0,37.0,40.0,5.3333225,23.359055,83.59512,188.41367,1.7105263,1.5853659,0.902439,0.494,0,0,0,1,1,0,0
71.0,54.0,16.0,5.7499146,22.6136,63.690704,87.75954,1.290909,4.1764708,3.1764705,0.525,0,0,0,0,0,0,0
61.0,44.0,17.0,6.9317565,26.100183,71.57477,102.26624,1.3555555,3.3888888,2.4444444,0.598,0,0,0,0,0,0,0
80.0,43.0,16.0,6.6579647,23.55882,71.59351,66.719955,1.8181819,4.7058825,2.5294118,0.62,0,0,0,0,0,0,0
73.0,58.0,21.0,6.5960608,19.97216,57.682728,60.651714,1.2372881,3.3181818,2.6363637,0.618,0,0,0,0,0,0,0
61.0,38.0,20.0,5.9704585,18.478912,62.695038,65.438354,1.5641025,2.9047618,1.8095238,0.524,0,0,0,0,0,0,0
68.0,41.0,16.0,6.1588306,21.776894,57.808407,102.08617,1.6190476,4.0,2.4117646,0.605,0,0,0,0,0,0,0
93.0,41.0,17.0,6.047907,25.621717,66.50416,105.46547,2.2142856,5.1666665,2.2777777,0.638,0,0,0,0,0,0,0
